horse_name,horse_url,country_of_origin,age,color,sex,import_type,season_stakes,total_stakes,no_123_starts,no_starts_in_10,stable_loc,trainer,owner,current_rating,sos_rating,sire,dam,dam_sire,retired
JOY MASTER(B222),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B222,AUS,7,Bay,Gelding,PP,"$124,800 ","$2,590,670 ",4-1-3-45,2,Hong Kong(06/05/2021),D E Ferraris,"Fong Chi Keung, Chan Chu Woon & Tam Kin Sang",40,44,Rogano,Irish Hut,Quest For Fame,FALSE
ART OF RAW(V368),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2015_V368,FR,-1,Bay,Gelding,PP,,"$1,264,425 ",1-3-1-38,-1,,,Mr & Mrs Chan Chi Kong,23,-1,Myboycharlie,Tehamana,Pleasantly Perfect,TRUE
THE FULL BLOOM(V243),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2015_V243,GB,-1,,,PP,,"$3,760,725 ",6-1-5-76,-1,,,Gary Lee Sai Ho,20,-1,Zebedee,Break Of Dawn,Mt Livermore,TRUE
WHO'S HORSE(C233),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C233,NZ,6,Bay,Gelding,PPG,$0 ,"$225,955 ",0-0-1-19,1,Hong Kong(10/11/2021),W Y So,Frederick Ma Si Hang & Eric Tsang Chi Wai,17,24,All Too Hard,Zuzela,Redoute's Choice,FALSE
GREEN GENERATION(C355),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C355,NZ,-1,Chestnut,Gelding,PPG,,"$392,875 ",0-1-1-14,-1,,,One More Round Syndicate,27,-1,Mastercraftsman,Kim Possible,Volksraad,TRUE
GREAT SMART(C319),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C319,AUS,-1,Bay,Gelding,PP,,"$1,254,125 ",2-2-1-29,-1,,,"Joe Ma Tin Chung, Ray Ma Tin Ming & Wilson Law Chi Yin",27,-1,Fastnet Rock,Pear Tart,Dehere,TRUE
AMAZING AGILITY(V192),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2015_V192,FR,-1,Bay,Gelding,PP,,"$4,107,740 ",4-4-6-65,-1,,,Focuson Syndicate,38,-1,King's Best,Wings Of Glory,Monsun,TRUE
BRAVERY AND POWER(C295),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C295,SAF,-1,Brown,Gelding,PP,,"$71,250 ",0-0-0-23,-1,,,Wallace Cheung Kwong Yung,13,-1,Gimmethegreenlight,The Taj,National Assembly,TRUE
ENJOYABLE SUCCESS(B150),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B150,IRE,-1,Bay,Gelding,PP,,"$1,887,495 ",2-4-2-48,-1,,,Gratifier Syndicate,25,-1,Frankel,Drops,Kingmambo,TRUE
FORTUNE BUDDY(B444),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B444,AUS,-1,Brown,Gelding,ISG,,$0 ,0-0-0-14,-1,,,"Alan Tsang Ping Sing, Derek Tsang Wai Tik, Fiona Tsang Wai Sze & Claudia Tsang Hei Man",9,-1,Medaglia d'Oro,Oh Eight Hundred,Diatribe,TRUE
FORTUNE PATROL(A245),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A245,IRE,7,Bay,Gelding,PP,$0 ,"$1,833,855 ",2-2-6-47,1,Hong Kong(21/01/2017),A T Millard,Alan Chan Yau Yuet & Chris Chan Cheong Hoi,27,27,Rip Van Winkle,Gwyllion,Red Ransom,FALSE
WILLFUL(C047),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C047,GB,-1,Bay,Gelding,PPG,,$0 ,0-0-0-10,-1,,,Chan Ho Yee & Alfred Chan Ngo Fung,28,-1,Garswood,Delta Diva,Victory Gallop,TRUE
MONEYMORE(B182),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B182,AUS,-1,Bay,Gelding,PP,,"$1,300,375 ",2-0-3-32,-1,,,Milk Tea Syndicate,31,-1,Reward For Effort,Just Stunning,Snippets,TRUE
TELECOM MISSILE(D209),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D209,AUS,5,Bay,Gelding,PPG,$0 ,"$855,000 ",1-2-0-18,1,Hong Kong(22/09/2021),C Fownes,Ian Cheung Lap Yan,32,33,Smart Missile,Twisted Heart,Distorted Humor,FALSE
ADONIS(A324),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A324,AUS,-1,Bay,Gelding,ISG,,"$2,714,260 ",3-4-4-41,-1,,,Johnson Chen,42,-1,Exceed And Excel,Mythical Play,Defensive Play,TRUE
FOX CHEUNGER(B187),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B187,AUS,7,Chestnut,Gelding,PPG,"$117,000 ","$2,216,800 ",3-2-5-40,1,Hong Kong(19/11/2021),K W Lui,Siu Leun 90 Syndicate,35,34,Hussonet,Belle d'Orleans,General Nediym,FALSE
SPEEDY DRAGON(B185),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B185,AUS,7,Bay,Gelding,PPG,"$218,400 ","$2,098,990 ",2-4-1-33,1,Hong Kong(11/11/2020),K L Man,Super Excellent Partners Syndicate,31,31,Exceed And Excel,Innovation Girl,Rubiton,FALSE
ROYAL CHOCOLATE(A356),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A356,AUS,-1,Brown,Gelding,PPG,,"$1,244,275 ",0-4-4-29,-1,,,Wilson Cheung Wai Yin,25,-1,So You Think,Matter,Octagonal,TRUE
U W BROTHER(C389),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C389,AUS,5,Brown,Gelding,PPG,$0 ,"$1,291,790 ",1-3-1-24,0,Conghua(16/09/2021),Y S Tsui,Perfect Match Syndicate,39,39,Wandjina,Pacific Belle,Canadian Silver,FALSE
JIMSON THE DRAGON(C017),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C017,AUS,-1,Brown,Gelding,PPG,,"$642,325 ",0-1-3-30,-1,,,"Raymond Leung Yim San, Leung Chung Wai & Leung Chung Shun",16,-1,Smart Missile,Pyrography,Danzero,TRUE
E GENERATION(C322),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C322,AUS,-1,Bay,Gelding,PP,,"$87,000 ",0-0-0-21,-1,,,Jeffrey Yim Tsz Yu,22,-1,I Am Invincible,North Pole Dancer,Anabaa,TRUE
TARGET FINDER(C154),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C154,IRE,-1,Chestnut,Gelding,PPG,,"$102,000 ",0-0-0-19,-1,,,"Janice Yeung Wah Kei, Sunny Yeung Wah Hon, Geng Zhao & Sheung Chi Wai",5,-1,Footstepsinthesand,Divert,Averti,TRUE
FANTASTIC FABIO(V364),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2015_V364,AUS,8,Bay,Gelding,PPG,"$62,400 ","$4,572,905 ",7-4-3-67,0,Hong Kong(01/12/2021),C H Yip,Pauline Ngan Po Ling & Ngan Hei Keung,36,40,Hidden Dragon,Fantastic Flo Jo,Fantastic Light,FALSE
PLEASANT GUY(B060),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B060,AUS,-1,Bay,Gelding,PPG,,"$136,195 ",0-0-0-11,-1,,,The Executors of the Estate of the late Dr Lam Kin Ming,25,-1,Foxwedge,Senorita Dane,Senor Pete,TRUE
DASHING GRACE(C513),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C513,AUS,-1,Chestnut,Gelding,PPG,,$0 ,0-0-0-12,-1,,,James Lau Chi Wang,8,-1,All Too Hard,Dubleanny,Dubleo,TRUE
WINSTON'S LAD(T348),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2014_T348,AUS,-1,Bay,Gelding,PP,,"$7,978,105 ",9-3-2-72,-1,,,Here We Are Syndicate,58,-1,Churchill Downs,Caralowe,Hennessy,TRUE
SUPER RED DRAGON(C191),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C191,AUS,6,Grey,Gelding,PPG,"$36,400 ","$2,979,640 ",2-6-3-27,1,Hong Kong(10/11/2021),W Y So,Yip Wing Kui,55,60,Starspangledbanner,Street Storm,Stormy Atlantic,FALSE
ELIGERE(C473),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C473,AUS,6,Chestnut,Gelding,PP,"$235,500 ","$2,032,750 ",1-1-5-28,1,Conghua(30/11/2021),Y S Tsui,The All Happy Syndicate,63,65,Choisir,Smytzer's Roylani,Royal Academy,FALSE
GOLDEN MISSION(C106),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C106,NZ,6,Brown,Gelding,PPG,"$171,600 ","$1,289,935 ",0-3-4-28,1,Hong Kong(24/08/2018),C W Chang,Wong Kiam Seng,22,24,Rock 'N' Pop,Aimee's Idol,Colombia,FALSE
ALL JOYFUL(D364),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D364,NZ,5,Brown,Gelding,PPG,"$1,037,400 ","$1,167,400 ",2-0-0-11,1,Hong Kong(17/01/2020),T P Yung,Kwok Shiu Ming,51,39,Shocking,Katchme If Youcan,Giant's Causeway,FALSE
HERO STAR(D033),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D033,AUS,6,Bay,Gelding,PPG,"$182,000 ","$2,692,910 ",2-4-3-24,2,Hong Kong(08/07/2019),K L Man,"Mr & Mrs Wong Kwun Keong, Wong Men Chu and Wong Bo Chu",52,54,Kaphero,Winning Betsy,Redoute's Choice,FALSE
VIGOR CHAMP(C498),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C498,AUS,-1,Bay,Gelding,PPG,,"$1,449,210 ",2-0-1-17,-1,,,Johnson Tsang Man Hing,52,-1,Mossman,Eve Angelene,Catbird,TRUE
COLONEL(D090),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D090,NZ,5,Brown,Gelding,PPG,"$465,000 ","$2,551,190 ",2-3-4-25,3,Hong Kong(01/09/2021),P F Yiu,Syed Pervez Hussain,61,62,Ferlax,Outrageous Fortune,Volksraad,FALSE
DIAMOND PEGASUS(D143),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D143,AUS,-1,Chestnut,Gelding,PP,,"$848,020 ",1-1-0-14,-1,,,Alice Chan Mei Kei,47,-1,Snitzel,Fitna,Fastnet Rock,TRUE
SAM'S LOVE(A088),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A088,AUS,-1,Bay,Gelding,PPG,,"$3,346,040 ",2-6-5-45,-1,,,Samuel Choi Lin Hung,39,-1,Smart Missile,Dashie Diva,Dash For Cash,TRUE
ULTRA EXPRESS(D161),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D161,NZ,5,Bay,Gelding,PPG,"$1,240,300 ","$3,685,300 ",4-2-2-11,1,Hong Kong(30/08/2019),A T Millard,Lo Man Tuen & Lo Kam Wing,77,70,Power,Court In The Park,Thorn Park,FALSE
VIVA CHEF(D411),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D411,NZ,5,Brown,Gelding,PPG,"$46,800 ","$946,800 ",1-0-1-19,2,Hong Kong(13/03/2020),L Ho,Jimmy Chung Kwok Man,33,37,Sacred Falls,Savabeel Star,Savabeel,FALSE
DAILY CHARM(D398),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D398,AUS,4,Bay,Gelding,PPG,"$379,600 ","$1,221,850 ",1-4-0-20,1,Hong Kong(24/02/2020),C S Shum,Yu Mo Man,40,38,Not A Single Doubt,Siennas Fury,General Nediym,FALSE
NOBLE MAN(C412),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C412,AUS,6,Bay,Gelding,ISG,"$46,800 ","$955,885 ",1-1-0-25,1,Hong Kong(30/04/2020),K L Man,Mr & Mrs Tony Tang Wai Bun and Mr & Mrs Kenneth Tang,25,28,Exceed And Excel,So Tempted,Jeune,FALSE
BRIGHT KID(C060),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C060,AUS,7,Bay,Gelding,PP,$0 ,"$3,083,380 ",3-3-1-42,1,Hong Kong(10/11/2021),W Y So,Chan Man Fat,56,64,Show A Heart,Exedra,Redoute's Choice,FALSE
BREEZE OF SPRING(C309),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C309,NZ,6,Brown,Gelding,PPG,"$520,000 ","$2,957,640 ",2-5-4-32,2,Hong Kong(03/11/2021),C Fownes,Mr & Mrs Edward Hung and Doris Hung,48,47,Pins,Genius,Savabeel,FALSE
UNTOLD RICHES(D414),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D414,NZ,5,Bay,Gelding,PPG,$0 ,"$115,000 ",0-0-1-3,0,Hong Kong(13/03/2020),K H Ting,The Joy of Giving Syndicate,50,50,Swiss Ace,Bannisters,Redoute's Choice,FALSE
FORTUNE MASTER(D371),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D371,AUS,5,Bay,Gelding,PPG,$0 ,"$830,000 ",1-0-0-14,2,Hong Kong(14/07/2021),K W Lui,Kevin Chan Kai Ho,44,50,Brazen Beau,Pintle,Pivotal,FALSE
COPARTNER ERA(C534),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C534,AUS,6,Chestnut,Gelding,ISG,"$665,600 ","$2,081,805 ",3-1-1-23,1,Hong Kong(28/05/2020),W Y So,Kelvin Lau Sik Suen,55,49,Testa Rossa,Song Shan,Al Maher,FALSE
JUDY'S STAR(C311),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C311,AUS,5,Black,Gelding,PPG,$0 ,"$2,054,525 ",2-3-1-23,1,Conghua(11/11/2021),P O'Sullivan,"Jamson Chan Wing Chai, Au Yeung Ying Ho & Timmy Chan Tien Kay",47,54,Sebring,Seeking Attention,Exceed And Excel,FALSE
HAPPY TANGO(D075),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D075,AUS,6,Bay,Gelding,PPG,"$494,000 ","$2,664,810 ",2-5-2-26,2,Hong Kong(26/11/2021),Y S Tsui,Chan Chi Sun,57,55,Eavesdropper,Red Dawn,Western Red,FALSE
LUCKY GUY(T349),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2014_T349,AUS,-1,Brown,Gelding,PP,,"$4,026,005 ",2-7-2-50,-1,,,Celebrations Syndicate,36,-1,Domesday,Tintoretto,Commands,TRUE
DAY DAY RICH(D231),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D231,AUS,5,Brown,Gelding,PP,"$171,600 ","$251,600 ",0-1-0-17,0,Conghua(26/10/2021),T P Yung,The Easy Ride Syndicate,34,34,Love Conquers All,La Zap,Elnadim,FALSE
WAR LORD(C113),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C113,NZ,-1,Chestnut,Gelding,PPG,,"$734,400 ",1-0-1-12,-1,,,Sanjeev Tikam Mahtani,43,-1,Sweet Orange,Third Choice,Kashani,TRUE
ROCKET HAMMER(C520),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C520,AUS,-1,Chestnut,Gelding,PPG,,$0 ,0-0-0-10,-1,,,Bou Shing Ip & Lau Shuk Yee,16,-1,Starcraft,Attire,Wild Again,TRUE
MORE THAN ENOUGH(D372),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D372,NZ,5,Grey,Gelding,PPG,"$72,800 ","$2,178,990 ",2-3-2-20,2,Hong Kong(19/11/2021),A S Cruz,Kathy Ma So Lan,57,60,Dalghar,Worship,Irish River,FALSE
INTERSTELLAR(C270),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C270,AUS,-1,Bay,Gelding,PP,,"$459,325 ",0-2-0-14,-1,,,Gowin Chan Sin Tseng,49,-1,Magnus,Prospect Street,Street Cry,TRUE
FRESH POWER(B067),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B067,NZ,-1,Bay,Gelding,PPG,,"$2,289,300 ",2-3-3-38,-1,,,Alan Wong Chi Kei & Oscar Wong Wing Lun,34,-1,Makfi,Bannisters,Redoute's Choice,TRUE
LEAP OF FAITH(C386),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C386,AUS,5,Bay,Gelding,PPG,"$580,900 ","$4,313,610 ",3-6-2-23,3,Hong Kong(31/03/2021),J Size,Good Faith Syndicate,74,74,Sebring,Steps In Time,Danehill Dancer,FALSE
ANGEL OF MY EYES(D360),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D360,NZ,-1,Bay,Gelding,PPG,,"$1,671,190 ",2-2-0-9,-1,,,"Mr & Mrs Darin Leung Wai Yuen, Jacqueline Leung Yui Hoi and Catherine Leung Yue Hoi",66,-1,Niagara,Rose Chapel,College Chapel,TRUE
SUMSTREETSUMWHERE(B283),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B283,NZ,-1,Bay,Gelding,PP,,"$3,057,510 ",3-0-6-38,-1,,,Kenneth Wu Pak Kei,64,-1,Highly Recommended,Street Siren,Street Cry,TRUE
EZRA(C056),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C056,SAF,6,Grey,Gelding,PPG,"$821,600 ","$2,879,760 ",2-5-3-28,1,Hong Kong(21/07/2018),A T Millard,William Elkin Mocatta,59,52,Oratorio,Emerald Beauty,Equalize,FALSE
TELECOM ROCKET(C137),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C137,NZ,7,Bay,Gelding,PPG,$0 ,"$3,701,608 ",2-6-8-41,1,Hong Kong(06/12/2018),Y S Tsui,Sunny Cheung King Fung,57,61,Tavistock,Far Far Away,Keeper,FALSE
CHUNG WAH SPIRIT(A168),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A168,AUS,-1,Bay,Gelding,PP,,"$4,350,970 ",4-4-2-50,-1,,,Chung Wah Racing Syndicate,55,-1,Dash For Cash,Letter From France,Exceed And Excel,TRUE
DIONYSUS COLLIN(B436),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B436,AUS,6,,,PPG,"$119,600 ","$2,845,340 ",2-6-3-36,1,Conghua(23/11/2021),K H Ting,Harold Syndicate,41,44,Dream Ahead,Charlety Star,Arena,FALSE
HANG'S DECISION(T262),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2014_T262,NZ,10,Bay,Gelding,PPG,"$210,600 ","$10,303,490 ",10-8-5-87,1,Conghua(16/11/2021),W Y So,Wong Yuet Sing & Tony Wong Sze Ho,57,59,Postponed,Bislieri,Encosta de Lago,FALSE
ROMAN IMPERO(V371),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2015_V371,GB,-1,Bay,Gelding,PP,,"$2,985,063 ",3-2-5-36,-1,,,Kwok Ho,38,-1,Holy Roman Emperor,Diksie Dancer,Diktat,TRUE
SHANGHAI LAD(C396),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C396,AUS,-1,Brown,Gelding,PPG,,$0 ,0-0-0-4,-1,,,Ming Hoi Syndicate,43,-1,Spirit Of Boom,Figure,More Than Ready,TRUE
VILLA FIONN(B339),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B339,AUS,7,Bay,Gelding,PP,"$218,400 ","$2,825,035 ",3-1-4-38,2,Hong Kong(27/10/2021),P F Yiu,Yeung Kwong Fat,53,59,Sebring,Aeronwy,Dylan Thomas,FALSE
JOYFUL CHEERS(C536),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C536,GB,-1,Chestnut,Gelding,ISG,,$0 ,0-0-0-10,-1,,,Lo Chuen Hang,25,-1,Olympic Glory,Anandara,Dylan Thomas,TRUE
KELMIMI WINS(C419),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C419,USA,-1,Chestnut,Gelding,ISG,,"$752,750 ",1-1-0-21,-1,,,David Law,20,-1,Scat Daddy,Oxbow Lake,Dynaformer,TRUE
SMILING FACE(D192),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D192,GB,4,Bay,Gelding,PPG,$0 ,"$523,750 ",0-2-0-18,2,Hong Kong(15/10/2021),D J Whyte,"Ho Tze Man, Irene Lam Tak Wing & Simon Chau Sik Ming",17,29,Acclamation,Enigmatique,Arcano,FALSE
PRINCE OF GEMS(C031),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C031,AUS,-1,Bay,Gelding,PPG,,"$2,067,290 ",2-3-0-13,-1,,,Jacky Chan Wing Fai,65,-1,I Am Invincible,Rivers Secret,Flying Spur,TRUE
PEGASUS GLORY(D337),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D337,AUS,5,Bay,Gelding,PPG,$0 ,"$1,485,000 ",1-3-1-14,1,Hong Kong(15/09/2021),Y S Tsui,Daniel Kwan,55,58,Wandjina,Cupid Shuffle,More Than Ready,FALSE
UNITED WE STAND(D048),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D048,AUS,5,Bay,Gelding,PPG,$0 ,"$1,873,250 ",2-3-2-17,0,Conghua(26/10/2021),P O'Sullivan,Dr Jimmy Wong Chi Ho,63,63,Delago Deluxe,Register,Zeditave,FALSE
DUBLIN STAR(C436),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C436,NZ,5,Brown,Gelding,PPG,$0 ,"$3,793,395 ",3-2-6-25,1,Hong Kong(16/03/2019),K L Man,Maria Teresa Chu,69,72,Savabeel,Maxmara,O'Reilly,FALSE
MANAGEMENT SUPREME(D248),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D248,AUS,-1,Bay,Gelding,PPG,,"$1,461,185 ",1-2-2-13,-1,,,Mr & Mrs Ho Ying Cheung,58,-1,Wandjina,Guelder,O'Reilly,TRUE
WHISKEY NEAT(D150),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D150,AUS,5,Brown,Gelding,PP,"$327,600 ","$1,770,100 ",0-7-1-30,1,Hong Kong(19/11/2021),C Fownes,November Syndicate,52,55,Denman,Ouija,Viscount,FALSE
COMFORT LIFE(B169),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B169,AUS,-1,Bay,Gelding,PP,,"$2,034,105 ",1-2-3-35,-1,,,Happy And Free Syndicate,48,-1,Smart Missile,Goldfinger,Dubai Destination,TRUE
SURE WIN WIN(D407),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D407,AUS,5,Bay,Gelding,PPG,$0 ,"$1,001,250 ",2-0-1-18,1,Hong Kong(13/03/2020),T P Yung,Mr & Mrs Charles Chan Kam Kwong,41,44,Deep Field,Sravana,Stratum,FALSE
SUPER WINNER(C341),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C341,NZ,6,Grey,Gelding,PPG,"$525,950 ","$4,259,600 ",4-3-7-28,2,Hong Kong(09/02/2021),C H Yip,Six Lucky Boys Syndicate,75,73,Guillotine,Cinnadream,King Of Kings,FALSE
CORRIENTHES(D346),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D346,GB,4,Bay,Gelding,PP,$0 ,"$440,000 ",0-2-0-9,1,Hong Kong(24/09/2021),D E Ferraris,Martin Siu Kim Sun,57,58,Bated Breath,Bounty Box,Bahamian Bounty,FALSE
HELAKU KNIGHT(C328),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C328,AUS,-1,Chestnut,Gelding,PP,,"$426,205 ",0-1-1-15,-1,,,Mr & Mrs James Tien Pei Chun,50,-1,Written Tycoon,Summery,Scenic,TRUE
HAPPY GOOD GUYS(B466),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B466,AUS,6,Bay,Gelding,PPG,"$62,400 ","$3,631,113 ",3-5-4-37,1,Hong Kong(24/09/2021),P F Yiu,Happy Guys Syndicate,55,60,Zoustar,Sunday Chill,Flying Spur,FALSE
LUCKY TURBO(D400),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D400,AUS,-1,Bay,Gelding,PPG,,$0 ,0-0-0-16,-1,,,"Ma Ching Fat, Matthew Ma Hing Chuen & Maurice Ma Hing Kam",15,-1,Star Witness,Princess Paris,Krupt,TRUE
TIGER GLARE(D290),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D290,NZ,-1,Bay,Gelding,PPG,,"$45,000 ",0-0-0-10,-1,,,Kao Chan Ming Man & Michael C C Kao,31,-1,Darci Brahma,Chevremont,No Excuse Needed,TRUE
METRO WARRIOR(D387),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D387,AUS,5,Bay,Gelding,PP,"$94,200 ","$3,089,450 ",1-4-3-18,1,Hong Kong(24/09/2021),D A Hayes,Metro Express Syndicate,75,76,Fastnet Rock,Scandinavia,Snippets,FALSE
ALLIED AGILITY(C314),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C314,AUS,-1,Bay,Gelding,PPG,,"$3,247,090 ",4-1-0-14,-1,,,"Chan Kwok Yuen, Man Pui Kwan, Cho Kim Fu & Danny Yung Wai Man",82,-1,Star Witness,Spooked,Scaredee Cat,TRUE
TAKE WHAT YOU NEED(C474),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C474,AUS,6,Chestnut,Gelding,PP,$0 ,"$2,153,000 ",0-3-5-27,3,Hong Kong(29/09/2021),D J Whyte,Lai Chan Cheong,40,51,Fast 'N' Famous,Sequential Charm,Sequalo,FALSE
BALTIC SUCCESS(C373),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C373,AUS,-1,Bay,Gelding,PP,,"$2,662,500 ",2-2-1-18,-1,,,Mr & Mrs Hans Michael Jebsen,82,-1,Exceed And Excel,Madame Pedrille,Secret Savings,TRUE
TRUST ME(C134),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C134,NZ,6,Bay,Gelding,PPG,"$36,400 ","$4,285,630 ",4-3-4-37,2,Hong Kong(07/07/2021),C H Yip,Take It Easy Syndicate,56,62,Guillotine,Cassie May,Red Clubs,FALSE
